user_id,posts,messages,profile_likes,pagerank,k_shell,out_degree,topological_score,user_feature_score,website_impressions,total_impression_score
coDf68PddVT,0,0,0,0.006915174573063558,2,2.0,45,26,20,91
8fHcxsdsFsR,0,2,0,0.005863534832862845,2,2.0,45,26,20,91
enB5kUHpPbx,0,0,0,0.0026628040839055366,2,0.0,42,26,20,88
bBLGbb3W7DZ,0,0,0,0.008515888557146202,4,1.0,55,26,20,101
8AVg80quzFc,0,4,0,0.004421122318357958,1,1.0,38,26,20,84
aMNEPU8ekon,0,0,2,0.0033821444020116598,2,0.0,42,27,20,89
hWfpuxqAY1h,0,0,0,0.0018756845363817538,4,0.65,52,26,20,98
2ro9MUJjfZI,0,0,0,0.0057141522877312365,4,1.0,54,26,20,100
hBStaWzaCES,0,6,0,0.009388298338364983,3,3.0,52,26,20,98
jiPxwypTcrW,0,261,0,0.024413802848837634,4,8.0,67,40,20,127
7bB7ba0JmZB,0,0,11,0.005920045079778401,4,1.0,54,32,20,106
jWfZ6q076Jb,0,19,0,0.011454973058341944,4,4.0,59,27,20,106
7d1TWdLO0V8,0,0,0,0.0018756845363817538,1,0.2,36,26,20,82
gHhUDzI8iYV,0,2,0,0.004421122318357958,1,1.0,38,26,20,84
4iGFY2u1rrh,0,20,0,0.005852126230865848,2,1.0,44,27,20,91
8PzI8nEQu5L,0,638,0,0.026785640119808534,5,8.0,73,65,20,158
cgqgMgIzmsy,0,21,0,0.004421122318357958,4,1.165,54,27,20,101
43HnWoz1JOX,0,60,0,0.010556975890780173,4,4.0,58,29,20,107
eD56kDZ2pHQ,0,0,0,0.004501208340021774,1,1.0,38,26,20,84
dedqt6YGdo1,0,0,0,0.004469774739167808,1,1.0,38,26,20,84
707cjwGd2uM,0,152,0,0.020167200191622058,4,8.979999999999997,66,34,20,120
cT4vfI0s1Nj,0,122,0,0.012131799302516488,3,4.0,54,32,20,106
HisxH4s5Dg,0,2,0,0.004469774739167808,1,1.0,38,26,20,84
gDLmJl57aFq,0,0,0,0.004328277515232378,3,1.0,48,26,20,94
8onuMP9I7nZ,0,3,0,0.004421122318357958,1,1.0,38,26,20,84
31rrYnzoTcb,0,0,1,0.008631810732002853,5,1.0,60,26,20,106
2K6elDiu9Pf,0,0,0,0.004527256295089916,2,1.0,43,26,20,89
3oYkVCJdEag,0,60,0,0.027413395849657626,5,11.799999999999997,77,29,20,126
3r5p0MzUNsK,0,0,0,0.004501208340021774,1,1.0,38,26,20,84
